element_id,element_classes,element_target,target_url,page_url,dvce_created_tstamp
ctl22_repeater_link_5,[],,https://www.sportsingapore.gov.sg/Sports-Education/Singapore-Sports-Hub-Library,https://www.sportsingapore.gov.sg/Sports-Education,2020-01-01 12:24:04.317000
,"[""menu-toggle"",""full""]",,https://www.sportsingapore.gov.sg/careers#,https://www.sportsingapore.gov.sg/careers,2020-01-01 13:02:28.988000
,[],,https://www.sportsingapore.gov.sg/-/media/SSC/Corporate/Files/Athletes-and-Coaches/For-Coaches/National-Registry-of-Coaches/NROC-Handbook/Handbook_for_Coaches.pdf?la=en&hash=66E7CED8A8DD2631F8010EA26B2876D58F6F5BD3,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner/National-Registry-of-Coaches/NROC-Handbook,2020-01-01 13:48:07.764000
,[],,https://www.cycling.org.sg/,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/singapore-coach-excellence-programme-sg-coach/sg-coach-technical-programme-accreditation,2020-01-01 13:52:56.420000
,"[""dd-toggle""]",,https://www.sportsingapore.gov.sg/athletes-coaches/singapore-sport-institute/sport-science/strength-and-conditioning#,https://www.sportsingapore.gov.sg/athletes-coaches/singapore-sport-institute/sport-science/strength-and-conditioning,2020-01-01 14:07:27.592000
,"[""dd-toggle""]",,https://www.sportsingapore.gov.sg/athletes-coaches/singapore-sport-institute/sport-science/strength-and-conditioning#,https://www.sportsingapore.gov.sg/athletes-coaches/singapore-sport-institute/sport-science/strength-and-conditioning,2020-01-01 14:07:30.372000
ctl20_ctl02_repeater_link_2,[],,https://www.sportsingapore.gov.sg/Sports-Education,https://www.sportsingapore.gov.sg/,2020-01-01 14:24:52.804000
,"[""menu-toggle"",""full""]",,https://www.sportsingapore.gov.sg/careers/our-life#,https://www.sportsingapore.gov.sg/careers/our-life,2020-01-01 14:25:40.437000
,"[""menu-toggle"",""full""]",,https://www.sportsingapore.gov.sg/#,https://www.sportsingapore.gov.sg/,2020-01-01 14:29:33.481000
,"[""menu-logo""]",,https://www.sportsingapore.gov.sg/,https://www.sportsingapore.gov.sg/,2020-01-01 14:41:22.246000
,"[""menu-toggle"",""full""]",,https://www.sportsingapore.gov.sg/#,https://www.sportsingapore.gov.sg/,2020-01-01 01:08:41.058000
ctl22_repeater_link_0,[],,https://www.sportsingapore.gov.sg/Athletes-Coaches/Anti-Doping-Singapore,https://www.sportsingapore.gov.sg/Athletes-Coaches/Singapore-Sport-Institute,2020-01-01 01:30:07.412000
,[],,https://www.myactivesg.com/Sports/Find-a-Coach,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/national-registry-of-coaches,2020-01-01 02:21:18.262000
,"[""dd-toggle""]",,https://www.sportsingapore.gov.sg/#,https://www.sportsingapore.gov.sg/,2020-01-01 03:03:25.932000
,[],_blank,https://www.myactivesg.com/,https://www.sportsingapore.gov.sg/sportcares/who-we-are,2020-01-01 03:16:48.952000
content_0_ctl03_repeater_ItemLink_0,[],,https://www.sportsingapore.gov.sg/Athletes-Coaches/Course-Calendar/2020/Understanding-Youth-Athletes-Early-Specialisation-and-Athletic-Skills-Model-by-NYSI,https://www.sportsingapore.gov.sg/Athletes-Coaches/Course-Calendar?pg=1,2020-01-01 03:26:06.087000
,[],,http://sportshub.spydus.com.sg/cgi-bin/spydus.exe/MSGTRN/OPAC/HOME,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner/Continuing-Coach-Development/Coaching-Learning-Resources,2020-01-01 03:52:47.520000
ctl22_repeater_link_0,[],,https://www.sportsingapore.gov.sg/SportCares/Who-We-Are,https://www.sportsingapore.gov.sg/SportCares/For-At-Risk-Youth,2020-01-01 04:08:35.302000
,[],_blank,http://www.myactivesg.com/?utm_source=sportsingapore&utm_medium=hyperlink&utm_term=myactivesg&utm_content=broilerplate&utm_campaign=media release,https://www.sportsingapore.gov.sg/newsroom/media-releases/2014/4/activesg100-for-every-singaporean-to-play-sport,2020-01-01 05:00:46.471000
,"[""job-link""]",,https://www.sportsingapore.gov.sg/careers/job-listings?job=536872,https://www.sportsingapore.gov.sg/careers/job-listings?job=536872,2020-01-01 05:53:16.961000
,[],,http://bit.ly/gov2030,https://www.sportsingapore.gov.sg/about-us/vision-2030,2020-01-01 06:01:06.871000
,[],,https://srfac.sg/,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/national-registry-of-coaches/accredited-standard-first-aid-with-aed-courses,2020-01-01 06:30:14.173000
content_0_repeater_moreLink_0,"[""icn-readmore""]",,https://www.sportsingapore.gov.sg/Careers/Job-Listings,https://www.sportsingapore.gov.sg/careers,2020-01-01 06:39:56.724000
searchBtnMobile,[],,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/national-registry-of-coaches#,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/national-registry-of-coaches,2020-01-01 07:06:29.791000
,[],,https://www.myactivesg.com/Sports/Find-a-National-Sports-Association,https://www.sportsingapore.gov.sg/National-Sports-Associations,2020-01-01 07:48:37.492000
,[],,https://www.rp.edu.sg/ace/short-course/Detail/basic-sports-science-(bss),https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/singapore-coach-excellence-programme-sg-coach/basic-sports-science-course,2020-01-01 08:46:19.203000
ctl20_ctl02_repeater_link_2,[],,https://www.sportsingapore.gov.sg/Sports-Education,https://www.sportsingapore.gov.sg/Athletes-Coaches/Course-Calendar/2020/Sports-Taping-Workshop,2020-01-01 09:12:12.627000
ctl22_repeater_link_3,[],,https://www.sportsingapore.gov.sg/About-Us/Our-Board-Members,https://www.sportsingapore.gov.sg/About-Us/Our-Senior-Management,2020-01-01 09:14:24.493000
ctl20_ctl02_repeater_link_5,[],,https://www.sportsingapore.gov.sg/Careers,https://www.sportsingapore.gov.sg/careers,2020-01-01 09:22:26.558000
content_0_repeater_titleLink_0,[],,https://www.sportsingapore.gov.sg/Careers/Job-Listings,https://www.sportsingapore.gov.sg/Careers,2020-01-01 09:22:42.899000
ctl22_repeater_innerRepeater_4_link_1,[],,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner/Singapore-Coach-Excellence-Programme-SG-Coach,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/national-registry-of-coaches/accredited-standard-first-aid-with-aed-courses,2020-01-01 09:28:21.630000
content_0_repeater_moreLink_0,"[""icn-readmore""]",,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner/Continuing-Coach-Development/Continuing-Coaching-Education,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner/Continuing-Coach-Development,2020-01-01 09:33:09.328000
,"[""dd-toggle""]",,https://www.sportsingapore.gov.sg/Athletes-Coaches#,https://www.sportsingapore.gov.sg/Athletes-Coaches,2020-01-01 10:06:19.517000
,[],,https://www.sportsingapore.gov.sg/,https://www.sportsingapore.gov.sg/athletes-coaches/singapore-sport-institute,2020-01-01 10:31:09.946000
ctl22_repeater_link_1,[],,https://www.sportsingapore.gov.sg/About-Us/Our-Core-Values,https://www.sportsingapore.gov.sg/About-Us,2020-01-01 10:38:42.079000
ctl20_ctl02_repeater_link_5,[],,https://www.sportsingapore.gov.sg/Careers,https://www.sportsingapore.gov.sg/About-Us/Our-Core-Values,2020-01-01 10:38:49.582000
,[],_blank,http://www.bowlssingapore.org/,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner/Singapore-Coach-Excellence-Programme-SG-Coach/SG-Coach-Technical-Programme-Accreditation,2020-01-01 11:41:15.503000
,[],,http://www.stf.sg/,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner/Singapore-Coach-Excellence-Programme-SG-Coach/SG-Coach-Technical-Programme-Accreditation,2020-01-01 11:43:03.747000
ctl20_ctl02_repeater_ctl00_2_ctl00_2_link_1,[],,https://www.sportsingapore.gov.sg/Sports-Education/History-of-Singapore-Sports/Sports-Clubs,https://www.sportsingapore.gov.sg/,2020-01-01 12:15:51.224000
,[],,https://www.rp.edu.sg/ace/short-course/Detail/basic-sports-science-(bss),https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/singapore-coach-excellence-programme-sg-coach/basic-sports-science-course,2020-01-01 12:24:41.719000
,[],,https://www.rp.edu.sg/ace/short-course/Detail/sg-coach-theory--level-1-(SG-Coach),https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/singapore-coach-excellence-programme-sg-coach/sg-coach-level-1-theory-programme,2020-01-01 13:14:12.113000
,[],,https://www.rp.edu.sg/ace/short-course,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner/Singapore-Coach-Excellence-Programme-SG-Coach/SG-Coach-Level-1-Theory-Programme,2020-01-01 13:47:51.751000
ctl20_ctl02_repeater_link_5,[],,https://www.sportsingapore.gov.sg/Careers,https://www.sportsingapore.gov.sg/careers/our-life,2020-01-01 14:24:24.622000
,"[""menu-toggle"",""full""]",,https://www.sportsingapore.gov.sg/Careers#,https://www.sportsingapore.gov.sg/Careers,2020-01-01 14:24:52.746000
,"[""menu-toggle"",""full""]",,https://www.sportsingapore.gov.sg/search?q=&cx=ssc#,https://www.sportsingapore.gov.sg/search?q=&cx=ssc,2020-01-01 14:25:52.224000
,[],,https://www.sportsingapore.gov.sg/-/media/SSC/Corporate/Files/Sports-Education/Sports-Safety/Sports-Safety-Commitee/Sports-Safety-Committee-Report-2015.pdf?la=en&hash=F5AB7BD598EBA1CAA4698A013C2D82514399AD2E,https://www.sportsingapore.gov.sg/sports-education/sports-safety/sports-safety-committee,2020-01-01 14:48:53.038000
,[],_blank,http://www.myactivesg.com/facilities,https://www.sportsingapore.gov.sg/,2020-01-01 15:46:34.516000
,[],,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/national-registry-of-coaches/how-to-be-an-nroc-coach,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/national-registry-of-coaches,2020-01-01 15:57:18.955000
,"[""menu-toggle"",""full""]",,https://www.sportsingapore.gov.sg/Athletes-Coaches#,https://www.sportsingapore.gov.sg/Athletes-Coaches,2020-01-01 16:02:17.615000
ctl20_ctl02_repeater_ctl00_1_ctl00_2_link_1,[],,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner/Continuing-Coach-Development,https://www.sportsingapore.gov.sg/Athletes-Coaches/Course-Calendar/2020/ASCA-Level-1-Strength-and-Conditioning-Course-14-to-16-Feb-2020,2020-01-01 16:13:40.028000
,[],,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/national-registry-of-coaches,https://www.sportsingapore.gov.sg/Athletes-Coaches/CoachSG,2020-01-01 01:47:36.508000
,[],,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/singapore-coach-excellence-programme-sg-coach,https://www.sportsingapore.gov.sg/Athletes-Coaches/CoachSG,2020-01-01 02:36:13.691000
,[],_blank,https://www.myactivesg.com/Active-Health,https://www.sportsingapore.gov.sg/Partner-with-Us,2020-01-01 03:03:38.183000
